DateTime,Entries,UniqueIPs
1470088575,5989,6123
1470090514,5994,6129
1470092441,6004,6139
1470094456,6001,6136
1470096267,5995,6130
1470098467,5985,6120
1470100356,5979,6114
1470102267,5987,6122
1470104192,5987,6122
1470106112,5995,6131
1470108010,6003,6137
1470109936,6002,6135
1470111849,6008,6143
1470113783,6007,6143
1470115709,6006,6142
1470117651,6006,6144
1470119547,6012,6148
1470121459,6029,6165
1470123399,6028,6167
1470125282,6046,6186
1470127215,6038,6176
1470129411,6064,6202
1470131322,6074,6214
1470133236,6065,6204
1470135176,6071,6210
1470137055,6086,6225
1470138987,6079,6218
1470140918,6085,6225
1470142866,6081,6220
1470144746,6091,6229
1470146657,6097,6235
1470148599,6101,6238
1470150510,6105,6242
1470152432,6101,6238
1470154343,6116,6253
1470156263,6119,6259
1470158190,6122,6262
1470160112,6128,6269
1470162024,6127,6270
1470163951,6123,6266
1470165849,6130,6273
1470167790,6133,6276
1470169697,6142,6285
1470171648,6138,6282
1470173534,6135,6278
1470175459,6132,6276
1470177378,6137,6280
1470179322,6133,6276
1470181244,6122,6265
1470183151,6122,6264
1470185057,6109,6252
1470186990,6120,6264
1470188916,6119,6261
1470190825,6124,6266
1470192782,6122,6265
1470194653,6128,6271
1470196584,6137,6279
1470198513,6127,6269
1470200444,6134,6276
1470202364,6143,6283
1470204268,6144,6285
1470206190,6146,6286
1470208106,6159,6299
1470210024,6148,6289
1470212161,6157,6295
1470214107,6151,6289
1470216014,6161,6298
1470217848,6178,6316
1470219851,6165,6302
1470221781,6182,6320
1470223691,6198,6336
1470225633,6215,6353
1470227536,6217,6357
1470229455,6225,6365
1470231385,6241,6381
1470233294,6234,6374
1470235226,6243,6384
1470237141,6257,6398
1470239050,6258,6399
1470241000,6265,6407
1470242909,6272,6414
1470244831,6274,6417
1470246775,6295,6439
1470248658,6304,6448
1470250581,6311,6456
1470252519,6327,6472
1470254433,6337,6484
1470256610,6337,6487
1470258505,6345,6495
1470260429,6352,6502
1470262386,6351,6501
1470264257,6356,6506
1470266185,6361,6512
1470268115,6363,6515
1470270019,6359,6512
1470271982,6366,6521
1470273849,6375,6530
1470275783,6385,6539
1470277704,6394,6548
1470279713,6402,6556
1470281541,6397,6554
1470283455,6405,6562
1470285386,6413,6572
1470287309,6414,6572
1470289237,6411,6569
1470291398,6403,6561
1470293303,6407,6565
1470295230,6412,6569
1470297155,6401,6557
1470299062,6402,6560
1470300984,6419,6578
1470302902,6426,6586
1470304845,6432,6592
1470306756,6439,6599
1470308662,6439,6599
1470310589,6441,6601
1470312501,6447,6607
1470314421,6448,6607
1470316342,6445,6604
1470318255,6447,6606
1470320175,6443,6602
1470322135,6438,6597
1470324014,6432,6591
1470325982,6432,6592
1470327878,6442,6602
1470329792,6439,6599
1470331704,6427,6589
1470333652,6432,6594
1470335552,6446,6608
1470337469,6449,6611
1470339421,6462,6624
1470341308,6467,6629
1470343216,6473,6635
1470345143,6471,6633
1470347053,6474,6638
1470348980,6469,6632
1470350898,6471,6634
1470352841,6472,6635
1470354748,6475,6638
1470356662,6468,6630
1470358577,6475,6636
1470360499,6481,6642
1470362448,6484,6645
1470364344,6481,6641
1470366264,6483,6642
1470368193,6476,6635
1470370098,6471,6631
1470372032,6467,6624
1470373954,6475,6633
1470375872,6476,6635
1470377789,6479,6639
1470379713,6482,6644
1470381624,6486,6648
1470383542,6468,6631
1470385455,6471,6633
1470387396,6454,6616
1470389316,6455,6617
1470391269,6462,6624
1470393162,6463,6625
1470395079,6476,6640
1470396976,6476,6640
1470398908,6486,6651
1470400845,6490,6655
1470402745,6491,6657
1470404655,6515,6682
1470406601,6523,6688
1470408512,6537,6707
1470410438,6540,6712
1470412366,6543,6721
1470414255,6546,6724
1470416171,6556,6734
1470418096,6565,6747
1470420045,6568,6752
1470421945,6565,6748
1470423860,6562,6744
1470425781,6566,6750
1470427697,6571,6754
1470429648,6574,6756
1470431587,6584,6766
1470433463,6578,6761
1470435390,6571,6754
1470437308,6575,6757
1470439224,6573,6753
1470441151,6571,6751
1470443066,6568,6749
1470444979,6577,6758
1470446904,6574,6755
1470448866,6582,6762
1470450747,6566,6744
1470452654,6575,6753
1470454575,6572,6750
1470456507,6566,6744
1470458436,6561,6737
1470460354,6560,6736
1470462250,6564,6735
1470464195,6572,6743
1470466110,6567,6735
1470468026,6563,6733
1470469947,6558,6728
1470471855,6564,6729
1470473789,6564,6728
1470475704,6571,6735
1470477645,6575,6740
1470479564,6569,6731
1470481461,6571,6734
1470483393,6568,6731
1470485307,6534,6694
1470487221,6518,6679
1470489403,6507,6669
1470491307,6503,6660
1470493238,6503,6658
1470495145,6502,6657
1470497052,6503,6662
1470498974,6491,6650
1470500902,6494,6654
1470502841,6496,6653
1470504757,6496,6652
1470506658,6473,6628
1470508590,6474,6629
1470510506,6464,6620
1470512416,6457,6612
1470514347,6460,6616
1470516261,6459,6614
1470518188,6475,6629
1470520107,6477,6632
1470522034,6470,6622
1470523950,6475,6626
1470525846,6468,6618
1470527780,6471,6622
1470529691,6476,6627
1470531638,6489,6640
1470533546,6499,6650
1470535459,6504,6655
1470537392,6508,6660
1470539306,6512,6666
1470541464,6495,6649
1470543387,6507,6661
1470545300,6510,6663
1470547230,6504,6659
1470549148,6464,6616
1470551047,6491,6643
1470552984,6470,6621
1470554904,6455,6603
1470556835,6443,6592
1470558737,6438,6587
1470560654,6442,6590
1470562580,6436,6586
1470564498,6441,6592
1470566450,6434,6586
1470568347,6438,6590
1470570258,6441,6592
1470572183,6454,6605
1470574093,6456,6607
1470576012,6450,6600
1470577937,6452,6602
1470579847,6454,6605
1470581780,6461,6613
1470583698,6465,6617
1470585643,6473,6626
1470587537,6490,6643
1470589457,6477,6629
1470591376,6497,6649
1470593292,6507,6659
1470595221,6512,6666
1470597137,6524,6678
1470599053,6541,6694
1470600984,6525,6679
1470602902,6541,6695
1470604818,6534,6690
1470606737,6546,6702
1470608646,6554,6707
1470610583,6559,6711
1470612496,6559,6710
1470614439,6533,6684
1470616357,6540,6691
1470618269,6536,6688
1470620176,6549,6701
1470622092,6545,6696
1470624013,6551,6702
1470625935,6561,6710
1470627848,6571,6723
1470629780,6571,6723
1470631965,6563,6713
1470633847,6550,6699
1470635783,6542,6691
1470637699,6531,6680
1470639641,6523,6672
1470641536,6532,6677
1470643458,6547,6694
1470645384,6540,6687
1470647297,6527,6675
1470649221,6527,6674
1470651146,6533,6681
